product_no,product_name,store,product_store_id,sales,promotion,date
7,COCA COLA 2L,a,7a,542,1,27/02/13
7,COCA COLA 2L,e,7e,424,1,27/02/13
7,COCA COLA 2L,c,7c,121,1,27/02/13
7,COCA COLA 2L,b,7b,389,1,27/02/13
7,COCA COLA 2L,d,7d,466,1,27/02/13
3,KELLOGGS COCO POPS   650G,b,3b,4,0,27/02/13
3,KELLOGGS COCO POPS   650G,a,3a,13,0,27/02/13
3,KELLOGGS COCO POPS   650G,c,3c,2,0,27/02/13
3,KELLOGGS COCO POPS   650G,e,3e,27,0,27/02/13
3,KELLOGGS COCO POPS   650G,d,3d,5,0,27/02/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,d,9d,29,0,27/02/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,a,9a,21,0,27/02/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,b,9b,10,0,27/02/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,c,9c,5,0,27/02/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,e,9e,14,0,27/02/13
10,THINS CHIPS LIGHT&  TANGY 175G,e,10e,22,0,27/02/13
10,THINS CHIPS LIGHT&  TANGY 175G,a,10a,11,0,27/02/13
10,THINS CHIPS LIGHT&  TANGY 175G,c,10c,0,0,27/02/13
10,THINS CHIPS LIGHT&  TANGY 175G,d,10d,16,0,27/02/13
10,THINS CHIPS LIGHT&  TANGY 175G,b,10b,11,0,27/02/13
2,SAN REMO PASTA NO18 PENNE 500G,a,2a,86,1,27/02/13
2,SAN REMO PASTA NO18 PENNE 500G,e,2e,50,1,27/02/13
2,SAN REMO PASTA NO18 PENNE 500G,c,2c,16,1,27/02/13
6,SIRENA TUNA IN OIL  CHILLI 95G,e,6e,42,0,27/02/13
6,SIRENA TUNA IN OIL  CHILLI 95G,c,6c,2,0,27/02/13
6,SIRENA TUNA IN OIL  CHILLI 95G,b,6b,48,0,27/02/13
6,SIRENA TUNA IN OIL  CHILLI 95G,a,6a,72,0,27/02/13
6,SIRENA TUNA IN OIL  CHILLI 95G,d,6d,80,0,27/02/13
5,FERRERO ROCHER      16PK 200G,e,5e,6,0,27/02/13
5,FERRERO ROCHER      16PK 200G,d,5d,15,0,27/02/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,a,1a,33,1,27/02/13
5,FERRERO ROCHER      16PK 200G,b,5b,13,0,27/02/13
5,FERRERO ROCHER      16PK 200G,a,5a,4,0,27/02/13
5,FERRERO ROCHER      16PK 200G,c,5c,2,0,27/02/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,a,4a,29,0,27/02/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,b,4b,12,0,27/02/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,d,4d,31,0,27/02/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,c,4c,9,0,27/02/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,e,4e,28,0,27/02/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,e,1e,23,1,27/02/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,d,1d,36,1,27/02/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,b,1b,24,1,27/02/13
2,SAN REMO PASTA NO18 PENNE 500G,b,2b,101,1,27/02/13
2,SAN REMO PASTA NO18 PENNE 500G,d,2d,101,1,27/02/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,c,4c,10,0,06/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,d,4d,32,0,06/03/13
